dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,weights_extracted_from
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1777.57,69.38,66.77,68.05,1.00,join_examples_dict_1,1891,MetaBlocking-Method
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1777.57,80.48,69.26,74.45,1.00,join_examples_dict_1,1691,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,1774.63,68.37,80.20,73.82,1.00,join_examples_dict_2,2305,MetaBlocking-Method
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,1774.46,82.15,86.87,84.44,1.00,join_examples_dict_2,2078,distilroberta
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1774.45,78.64,75.67,77.13,1.00,join_examples_dict_2,1891,MetaBlocking-Method
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1774.44,84.61,76.08,80.12,1.00,join_examples_dict_2,1767,distilroberta
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,843.28,82.48,87.94,85.12,1.00,vector_based_examples_dict_1,2095,MetaBlocking-Method
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,843.28,84.58,86.56,85.56,1.00,vector_based_examples_dict_1,2011,distilroberta
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,843.44,85.36,83.05,84.19,1.00,vector_based_examples_dict_1,1912,MetaBlocking-Method
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,843.27,85.60,80.76,83.11,1.00,vector_based_examples_dict_1,1854,distilroberta
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,847.56,70.72,84.94,77.18,1.00,vector_based_examples_dict_2,2360,MetaBlocking-Method
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,847.55,77.62,87.02,82.05,1.00,vector_based_examples_dict_2,2203,distilroberta
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,847.55,76.97,84.38,80.50,1.00,vector_based_examples_dict_2,2154,MetaBlocking-Method
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,847.54,81.23,84.12,82.65,1.00,vector_based_examples_dict_2,2035,distilroberta
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,844.57,71.07,84.89,77.37,1.00,join_examples_dict_1,2347,MetaBlocking-Method
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,844.56,77.20,86.01,81.37,1.00,join_examples_dict_1,2189,distilroberta
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,844.56,77.09,81.17,79.08,1.00,join_examples_dict_1,2069,MetaBlocking-Method
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,844.55,81.26,81.63,81.44,1.00,join_examples_dict_1,1974,distilroberta
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,844.93,70.31,84.83,76.89,1.00,join_examples_dict_2,2371,MetaBlocking-Method
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,844.92,77.04,86.41,81.46,1.00,join_examples_dict_2,2204,distilroberta
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,844.92,76.21,83.16,79.53,1.00,join_examples_dict_2,2144,MetaBlocking-Method
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,844.91,81.31,83.72,82.50,1.00,join_examples_dict_2,2023,distilroberta
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,849.70,87.46,76.64,81.69,1.00,vector_based_examples_dict_1,1722,MetaBlocking-Method
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,849.69,87.83,73.44,79.99,1.00,vector_based_examples_dict_1,1643,distilroberta
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,849.79,90.71,52.67,66.65,1.00,vector_based_examples_dict_1,1141,MetaBlocking-Method
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,849.66,90.33,49.41,63.88,1.00,vector_based_examples_dict_1,1075,distilroberta
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,854.62,84.26,86.92,85.57,1.00,vector_based_examples_dict_2,2027,MetaBlocking-Method
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,854.62,85.06,84.33,84.69,1.00,vector_based_examples_dict_2,1948,distilroberta
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,854.63,84.74,72.06,77.89,1.00,vector_based_examples_dict_2,1671,MetaBlocking-Method
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,854.62,85.09,70.84,77.31,1.00,vector_based_examples_dict_2,1636,distilroberta
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,852.38,83.64,82.75,83.19,1.00,join_examples_dict_1,1944,MetaBlocking-Method
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,852.53,85.51,81.07,83.23,1.00,join_examples_dict_1,1863,distilroberta
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,852.38,83.91,61.32,70.86,1.00,join_examples_dict_1,1436,MetaBlocking-Method
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,852.38,84.36,59.85,70.02,1.00,join_examples_dict_1,1394,distilroberta
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,858.54,83.49,85.19,84.33,1.00,join_examples_dict_2,2005,MetaBlocking-Method
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,858.54,85.04,83.05,84.04,1.00,join_examples_dict_2,1919,distilroberta
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,858.53,84.80,71.25,77.43,1.00,join_examples_dict_2,1651,MetaBlocking-Method
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,858.64,85.16,69.77,76.70,1.00,join_examples_dict_2,1610,distilroberta
