dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,weights_extracted_from
tmdb,tvdb,D7,zephyr-tf-p2,574.0486319065094,49.934810951760106,37.0048309178744,42.50832408435073,0.7300536672629696,vector_based_examples_dict_2,767,distilroberta
tmdb,tvdb,D7,gemma3n-ft-p1,1546.8630449771883,50.38363171355499,95.16908212560386,65.88628762541806,1.0,join_examples_dict_1,1955,TopKJoin
tmdb,tvdb,D7,gemma3n-ft-p1,1546.8627605438235,49.97413347128815,93.33333333333333,65.09433962264151,1.0,join_examples_dict_1,1933,distilroberta
tmdb,tvdb,D7,gemma3n-ft-p2,1434.2767250537872,53.02609661299278,92.27053140096618,67.34837799717911,1.0,join_examples_dict_1,1801,TopKJoin
tmdb,tvdb,D7,gemma3n-ft-p2,1434.2779846191406,52.64341957255343,90.43478260869566,66.54816921436189,1.0,join_examples_dict_1,1778,distilroberta
tmdb,tvdb,D7,gemma3n-tf-p1,1546.1880879402158,53.91014975041597,93.91304347826087,68.49894291754757,1.0,join_examples_dict_1,1803,TopKJoin
tmdb,tvdb,D7,gemma3n-tf-p1,1546.187585353851,53.79426644182125,92.46376811594203,68.01705756929637,1.0,join_examples_dict_1,1779,distilroberta
tmdb,tvdb,D7,gemma3n-tf-p2,1432.9425535202026,53.987730061349694,93.52657004830918,68.45827439886845,1.0,join_examples_dict_1,1793,TopKJoin
tmdb,tvdb,D7,gemma3n-tf-p2,1432.942122220993,53.76344086021505,91.78743961352657,67.80870806566736,1.0,join_examples_dict_1,1767,distilroberta
tmdb,tvdb,D7,qwen2.5-ft-p1,552.6315245628357,54.91525423728814,93.91304347826087,69.30481283422458,1.0,join_examples_dict_1,1770,TopKJoin
tmdb,tvdb,D7,qwen2.5-ft-p1,552.5841133594513,54.59737292975443,92.3671497584541,68.62885857860732,1.0,join_examples_dict_1,1751,distilroberta
tmdb,tvdb,D7,qwen2.5-ft-p2,552.1859788894653,55.07900677200903,94.29951690821255,69.54043462771642,1.0,join_examples_dict_1,1772,TopKJoin
tmdb,tvdb,D7,qwen2.5-ft-p2,552.1855671405792,54.820308043354245,92.85024154589372,68.93830703012912,1.0,join_examples_dict_1,1753,distilroberta
tmdb,tvdb,D7,qwen2.5-tf-p1,553.4801104068756,55.028571428571425,93.04347826086956,69.15619389587073,1.0,join_examples_dict_1,1750,TopKJoin
