dataset_1,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts
cora,cora,openhermes-ft-p2 U openhermes-tf-p2,2827.65,80.86,94.78,87.27,1.00,join_examples_dict_1,18288,99.96
cora,cora,openhermes-ft-p2 ∩ openhermes-tf-p2,2827.65,88.52,83.80,86.10,1.00,join_examples_dict_1,14770,99.93
cora,cora,openhermes-ft-p2 U openhermes-tf-p2,2824.13,85.38,91.62,88.39,1.00,join_examples_dict_2,16743,99.97
cora,cora,openhermes-ft-p2 ∩ openhermes-tf-p2,2824.13,93.38,76.40,84.04,1.00,join_examples_dict_2,12765,99.94
cora,cora,zephyr-ft-p2 U zephyr-tf-p2,5402.15,95.80,60.92,74.48,0.09,vector_based_examples_dict_1,9923,99.91
cora,cora,zephyr-ft-p2 ∩ zephyr-tf-p2,5402.15,98.23,44.07,60.84,0.09,vector_based_examples_dict_1,7000,99.69
cora,cora,zephyr-ft-p2 U zephyr-tf-p2,4774.73,91.54,76.73,83.48,0.18,vector_based_examples_dict_2,13079,99.92
cora,cora,zephyr-ft-p2 ∩ zephyr-tf-p2,4774.73,96.24,59.52,73.55,0.18,vector_based_examples_dict_2,9650,99.82
cora,cora,zephyr-ft-p2 U zephyr-tf-p2,4746.51,90.14,77.54,83.37,0.11,join_examples_dict_1,13421,99.93
cora,cora,zephyr-ft-p2 ∩ zephyr-tf-p2,4746.51,95.19,58.63,72.57,0.11,join_examples_dict_1,9610,99.88
cora,cora,zephyr-ft-p2 U zephyr-tf-p2,4969.38,94.06,76.86,84.59,0.14,join_examples_dict_2,12751,99.91
cora,cora,zephyr-ft-p2 ∩ zephyr-tf-p2,4969.38,97.18,63.43,76.76,0.14,join_examples_dict_2,10184,99.85
